term,entropy
##탄 ##을,4.367487440326971
##지 ##가,4.367400616882136
##하 ##되,4.367341369699069
##받 ##게,4.366004629430459
##들 ##에겐,4.365875257849032
##시켰 ##다고,4.364353784162231
##몬 ##의,4.3635960526060105
##상태 ##로,4.3621977143036
##는 ##걸,4.361460562626954
##부 ##를,4.359854056927572
##자 ##와,4.3596369011373595
##하 ##는 ##데 ##도,4.359017609538599
##상태 ##에서,4.356493187909937
##당하 ##지,4.356477602147964
##화 ##에서 ##도,4.35590106888078
##하 ##는 ##데 ##에,4.355485584703609
##점 ##을,4.351539584347198
##랑 ##은,4.349606432280595
##이 ##였 ##고,4.348610361152406
##장 ##으로,4.348380855959631
##형태 ##로,4.347739697542858
##할 ##때 ##도,4.346277254688785
##적 ##이,4.345468400469991
##한 ##후,4.345453524332776
##시 ##에 ##도,4.345098602284471
##카드 ##가,4.34296513774853
##거리 ##는,4.342664690396082
##카드 ##로,4.340338846723851
##사업 ##을,4.339182064868022
##되 ##기 ##까지,4.338565130093098
##나 ##가,4.337771343108766
##때 ##와,4.33691836553498
##년 ##생 ##으로,4.329818199362825
##계열 ##의,4.327563762163068
##당하 ##여,4.325867856404162
##받 ##는,4.324800632184851
##점 ##의,4.324715789084461
##한 ##것 ##으로,4.323192144890403
##하 ##신,4.321709113799271
##내 ##에서,4.321456402767525
##속 ##에,4.3191016042056365
##하 ##여서,4.3167001902657045
##해 ##버리 ##면,4.315569240664911
##하 ##였 ##다,4.314621971261272
##한 ##것 ##이,4.313221119782709
##고등학교 ##를,4.308229525230827
##년 ##경,4.308185764993213
##씨 ##는,4.307601612238663
##술 ##을,4.307466823202005
##해 ##주 ##며,4.307356428437525
##명 ##을,4.305576647102881
##였 ##다고,4.303782855362776
##판 ##의,4.300267172773082
##되 ##었 ##음 ##에 ##도,4.300101528315255
##론 ##이,4.29710199322284
##이 ##라곤,4.2948795929430865
##율 ##이,4.2937474917722485
##시키 ##자,4.293169695299905
##상 ##에,4.29261750358265
##면 ##에서 ##는,4.290392975418286
##년 ##도 ##에,4.29013493502815
##이 ##랑,4.288842635306823
##덱 ##에서,4.288213981856667
##역할 ##을,4.287492091657679
##씨 ##의,4.285896907576734
##격 ##인,4.285030592750469
##적 ##이 ##지,4.284909763263978
##씨 ##와,4.284569751104204
##형 ##에,4.283774176124131
##할 ##시,4.280927509222051
##곡 ##으로,4.280505817324524
##키 ##와,4.280185550109289
##기준 ##으로,4.279255500791126
##게임 ##이,4.277806020121879
##파 ##는,4.277457089924153
##고등학교 ##가,4.275614532891892
##할지 ##도,4.275127385348045
##키 ##의,4.274660022941485
##카 ##의,4.273699486523921
##이 ##기 ##때문 ##에,4.273401941726043
##전 ##에서 ##는,4.273245179311375
##계획 ##을,4.272588173997773
##권 ##에서,4.271171203884215
##해 ##주 ##기,4.271135975346542
##측 ##에서 ##는,4.270318080242687
##들 ##에 ##도,4.269826971014642
##용 ##으로 ##는,4.269774873295207
##초등 ##학교 ##가,4.267843803540883
##카 ##와,4.267780987270653
##덱 ##은,4.267630311339012
##기 ##라도,4.267115784465675
##안 ##에서,4.267029448502157
##장치 ##가,4.265720519196415
##해 ##지 ##기,4.265693208471273
##아 ##는,4.263950787250611
##하 ##는 ##것 ##으로,4.260651326045395
##시 ##를,4.259738745198132
##기간 ##이,4.259301563443444
##인 ##들 ##이,4.2575143973605405
##번 ##에서,4.2569054571466545
##적 ##이 ##지만,4.255661501553377
##상태 ##가,4.253638775600619
##하 ##게끔,4.252993088836961
##용 ##의,4.248300663743168
##에 ##선,4.247492665851939
##대 ##에서,4.247110978878518
##왕 ##이,4.246134111204461
##성 ##이나,4.24284459335095
##론 ##의,4.241367561059714
##으로 ##까지,4.241339454494739
##해 ##주 ##면서,4.241165885742195
##에서 ##야,4.240744508662672
##이 ##란 ##게,4.23815794231828
##하 ##는 ##것 ##은,4.237658959322796
##이 ##었 ##으니,4.236684414899739
##고등학교 ##와,4.236618343046799
##제 ##와,4.235979349125015
##층 ##을,4.234533671065374
##코 ##의,4.234117953116976
##자체 ##는,4.233494632141955
##즈 ##를,4.233488089695791
##맨 ##을,4.23348132349123
##기 ##도,4.232312981842553
##때 ##부터,4.2318467838943254
##형 ##이 ##라,4.231639126379672
##도 ##의,4.23120841478413
##인 ##게,4.23067409467662
##급 ##인,4.229614639476144
##중 ##에 ##는,4.229462257850985
##게임 ##을,4.2288707623322965
##다 ##를,4.22851621023688
##이 ##냐,4.227321261598764
##방송 ##을,4.226243337338946
##년 ##과,4.2247363463400935
##수 ##를,4.224417242236508
##레벨 ##이,4.221397971590712
##이 ##였 ##다고,4.220877503015924
##중 ##에서,4.2201277598506595
##법 ##을,4.219210774817474
##위원회 ##의,4.219094715017543
##형태 ##의,4.21562484364276
##자 ##의,4.213249979601725
##몬 ##을,4.21272982757663
##적 ##으로 ##는,4.212463414056061
##드 ##는,4.212437407959009
##석 ##을,4.211808631490885
##분 ##을,4.2113271421965
##류 ##를,4.2103596033869195
##만 ##이라도,4.208971047520969
##년 ##에 ##는,4.208934412413449
##공격 ##에,4.208058944763973
##여자 ##고등학교,4.207543888091749
##해 ##봤 ##자,4.2066792683510466
##나 ##의,4.205439035558408
##점 ##에,4.2050021334043395
##하 ##는지라,4.204129149410389
##할지 ##는,4.203822074287469
##법 ##에,4.203404664403893
##탓 ##에,4.203008964572477
##해 ##주 ##기 ##도,4.202578461277542
##때 ##는,4.198790454571957
##에서 ##든,4.198283977890304
##대 ##와,4.198020784456235
##임 ##과,4.197968304763352
##용 ##으로 ##도,4.1957228333169
##거리 ##를,4.195549318187555
##인 ##의,4.195273122842793
##질 ##을,4.19515430998781
##됨 ##과,4.193130829207945
##치 ##고,4.192219214025503
##만 ##원,4.192181883703557
##했 ##기에,4.191982838557511
##화 ##하 ##여,4.191589171662057
##로 ##나,4.190077300176526
##사 ##는,4.189519586715945
##장 ##에,4.189478211938596
##카 ##를,4.187791481741121
##됨 ##으로써,4.187342335085302
##마법 ##을,4.184822342207772
##분 ##에,4.184155766660625
##에서 ##와,4.184126176491731
##해 ##놓 ##은,4.183790172522089
##자 ##라는,4.1835723259691395
##에게 ##까지,4.181531745028738
##이 ##에,4.180221505960582
##조 ##에,4.180207989147023
##몬 ##이,4.180108761674211
##시즌 ##에 ##는,4.179476471199331
##시간 ##은,4.178871579739301
##년 ##에서,4.178767465642993
##하 ##는 ##데 ##다,4.178214346584832
##정도 ##의,4.177141834000795
##수치 ##가,4.1766021099709345
##템 ##을,4.175936664291898
##병 ##을,4.175783090838282
##상 ##으로 ##는,4.1736290979496475
##할 ##때 ##마다,4.1734863978238605
##직 ##을,4.172871945622718
##무기 ##를,4.172591108959814
##이 ##었 ##음 ##에 ##도,4.171533829877011
##이 ##었 ##으면,4.170965627687954
##수 ##도,4.170927526994858
##속 ##에서,4.1702846226852435
##시장 ##을,4.168077634818509
